,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4330,45,N,no_signal,plus_DI_MA25,0.5053356423247487,0.5137796050043277,0.6050393905758147,0.5969509351254461,-0.025080325503807562,-0.01200978705516358,0.04042217099797573,0.1450153434573924
4331,60,N,no_signal,plus_DI_MA25,0.523299427527588,0.46612938596491227,0.5802604718389691,0.5551223561970762,-0.0887102500398368,-0.1296620660247383,0.0763005405297491,0.12412280701754386
4332,90,N,no_signal,plus_DI_MA25,0.5044740429931347,0.5103031823394495,0.5111139568932489,0.4211002245107305,0.2799222903146121,0.24985480935977547,0.0598010260068864,0.13618119266055045
4333,5,N,no_signal,plus_DI_MA5,0.5025281991443018,0.49752035958932506,0.6762980424163861,0.6755897695228028,0.052742267312526396,0.13232634482447278,0.037795639374751965,0.06858403410127548
4334,10,N,no_signal,plus_DI_MA5,0.5259324865554663,0.4818392244905062,0.6577329060982103,0.653503356526006,-0.25722445465063776,-0.4248691171034837,0.06779908307971781,0.07911728362832629
4335,20,N,no_signal,plus_DI_MA5,0.49672999065711615,0.5075238619328639,0.6434464721897623,0.6160552203453179,-0.4460527174381706,-0.22741235116589553,0.027203150130331095,0.06539023510882559
4336,30,N,no_signal,plus_DI_MA5,0.4856775362880801,0.48972309183064994,0.6272634372266328,0.6215271906881612,0.25313387600879883,0.21170392219679685,0.06271617193160492,0.06909660107334525
4337,45,N,no_signal,plus_DI_MA5,0.5067760317330307,0.5351227476591393,0.6050188789222701,0.5966420099932177,-0.2095410159754361,-0.07637561795089691,0.035444578355545674,0.10736485954835157
4338,60,N,no_signal,plus_DI_MA5,0.4923574683443219,0.45932017543859643,0.5806742275806157,0.5536979486185042,-0.24863216086459117,-0.1409567069830646,0.03666668330347027,0.1368421052631579
4339,90,N,no_signal,plus_DI_MA5,0.5226785611719574,0.5100881594036697,0.5113646419229808,0.4218712745220569,0.04714923954738426,0.2178394382334543,0.0732685000166265,0.12672018348623854
4340,5,N,no_signal,plus_DI_MA50,0.4946336233703925,0.490885870196215,0.6762690109499102,0.6752902832041894,0.015482201193514672,0.03712031500646255,0.04734771080007977,0.05415401967126105
4341,10,N,no_signal,plus_DI_MA50,0.5351078542380335,0.5404984423676013,0.6577615692568548,0.6524202718260584,-0.22234844244196933,-0.2130664377295792,0.0874321094714865,0.12729076384900537
4342,20,N,no_signal,plus_DI_MA50,0.49128637432114775,0.43139338507372055,0.6428663687687417,0.6170501789051387,-0.04799150145694383,0.04061703261979447,0.04941489656702346,0.2145771267006964
4343,30,N,no_signal,plus_DI_MA50,0.4881624748791874,0.44239154740608233,0.6272604084457217,0.6221937639814017,-0.04169470204478774,0.062457460019408176,0.03825010690886047,0.18828264758497318
4344,45,N,no_signal,plus_DI_MA50,0.4989153200800347,0.49387245259265083,0.6051110622232478,0.5974285304747475,-0.03494341221247849,-0.03885088383927934,0.039413547383078056,0.12668187898339758
4345,60,N,no_signal,plus_DI_MA50,0.5088615934397757,0.457828947368421,0.5802679770693915,0.5548529877541345,-0.03053903249099411,-0.07325795954103609,0.05911139504589262,0.1337719298245614
4346,90,N,no_signal,plus_DI_MA50,0.5032844916973249,0.5687356651376148,0.5113373198392076,0.4195648855395655,0.26995343766788804,0.20245579945780215,0.037530570107951404,0.20226490825688073
4347,5,N,no_signal,plus_DI_slope10,0.5009279606386738,0.46059113300492605,0.6766540458367557,0.6775425650816487,0.06595733727278567,0.06794495269561569,0.022914704622231174,0.12398202053374467
4348,10,N,no_signal,plus_DI_slope10,0.5266578851650847,0.46876033345515933,0.6565082979670919,0.6556951744197036,0.11018030294572834,0.13370154925321362,0.053389748658629055,0.11039175760107207
4349,20,N,no_signal,plus_DI_slope10,0.4731520074401778,0.4919448186872616,0.6446181808246524,0.6162379410515121,0.07253640473826284,0.019838230013971087,0.07728356718983972,0.08552344446763696
4350,30,N,no_signal,plus_DI_slope10,0.481815522944968,0.45309704830053665,0.6274134057812252,0.6230719712817904,-0.032461930387692524,-0.038548684060414486,0.05055404270593527,0.10383124627310673
4351,45,N,no_signal,plus_DI_slope10,0.4952412154967647,0.5338834684082147,0.6055024306337169,0.5966129857501189,0.048369572697003024,0.011062536730232685,0.04267811801598353,0.08977889684475568
4352,60,N,no_signal,plus_DI_slope10,0.5207103249666848,0.45922149122807016,0.5799594646610011,0.5548261069586095,0.028846571373102082,0.05694011657776597,0.059787681112403235,0.1456140350877193
4353,90,N,no_signal,plus_DI_slope10,0.5064465518127431,0.5046409116972477,0.5110326732489076,0.42203844483715447,-0.05420917806813575,-0.064656379188233,0.059516863816781895,0.08142201834862385
4354,5,N,no_signal,plus_DI_slope25,0.48896714032146926,0.47455673317742275,0.6769001801769369,0.6766967814673717,0.07735987081323376,0.06659491860120935,0.04630523586982489,0.08734305286029424
4355,10,N,no_signal,plus_DI_slope25,0.5180219427942026,0.501714265824327,0.6582561973378828,0.6523264628112797,0.19907269557953994,0.17542414455248806,0.06817719453628945,0.12417549905149759
4356,20,N,no_signal,plus_DI_slope25,0.5130768377537831,0.461612174804076,0.6424857825943919,0.6190608225490695,-0.017030376885517864,-0.09914557012646921,0.06502689811990461,0.2034383954154728
4357,30,N,no_signal,plus_DI_slope25,0.4948417859651378,0.42719514013118665,0.6273424290423972,0.622361365576814,0.06524499244940761,-0.03255208129466295,0.053673787276848524,0.20348837209302326
4358,45,N,no_signal,plus_DI_slope25,0.5071422720943566,0.4484322133920844,0.6049137424660809,0.5974858084087218,0.03131096470920997,0.05634287469250583,0.04410095596924985,0.1652765756550476
4359,60,N,no_signal,plus_DI_slope25,0.5253894259803653,0.486655701754386,0.5798740712728039,0.5532689446297906,0.07626305208678161,0.0905389635427092,0.07940247256175166,0.14385964912280702
4360,90,N,no_signal,plus_DI_slope25,0.48671844061463676,0.5402988818807339,0.5139158546832381,0.420830011593623,-0.2641626799411244,-0.1695071770971946,0.040357076998884515,0.26763188073394495
4361,5,N,no_signal,plus_DI_slope5,0.4953098500060219,0.483032293377121,0.6763549180778387,0.6755048997956856,0.003915361030552998,0.004677704062943989,0.025364915585197646,0.059892852996301274
4362,10,N,no_signal,plus_DI_slope5,0.524256671920498,0.49015819975982877,0.6576237223154976,0.6537004148023311,0.06309584776376552,0.06623741874087959,0.05526797622007731,0.06870986268469692
4363,20,N,no_signal,plus_DI_slope5,0.49194976173513144,0.5047059716503159,0.6438600393683873,0.6161226762583015,0.045839711057437005,0.020169513817094167,0.04669735455604237,0.039070950112905366
4364,30,N,no_signal,plus_DI_slope5,0.4880040503501958,0.48208296064400713,0.6273517542888077,0.6214703645624824,-0.01973431915242165,-0.01355907616417161,0.0520740318931842,0.05717054263565891
4365,45,N,no_signal,plus_DI_slope5,0.5014497501842903,0.531454087654418,0.6053141116516494,0.5964647527396005,0.03188927464073279,0.011005807651331882,0.028700139241543125,0.08497914863482571
